City,State,Population
New York, New York,"8,390,081"
Los Angeles, California,"3,977,596"
Chicago, Illinois,"2,701,423"
Houston, Texas,"2,318,573"
Phoenix, Arizona,"1,654,675"
Philadelphia, Pennsylvania,"1,583,592"
San Antonio, Texas,"1,530,016"
San Diego, California,"1,421,917"
Dallas, Texas,"1,341,802"
San Jose, California,"1,028,020"
Austin, Texas,"962,469"
Jacksonville, Florida,"902,437"
Fort Worth, Texas,"893,216"
Columbus, Ohio,"890,869"
Charlotte, North Carolina,"872,514"
San Francisco, California,"880,696"
Indianapolis, Indiana,"870,960"
Seattle, Washington,"742,235"
Denver, Colorado,"716,265"
Washington, District of Columbia,"701,547"
Boston, Massachusetts,"691,147"
El Paso, Texas,"679,875"
Nashville-Davidson metropolitan government, Tennessee,"667,006"
Detroit, Michigan,"672,977"
Oklahoma City, Oklahoma,"647,912"
Portland, Oregon,"650,837"
Las Vegas, Nevada,"643,228"
Memphis, Tennessee,"651,104"
Louisville/Jefferson County metro government, Kentucky,"618,495"
Baltimore, Maryland,"602,443"
Milwaukee, Wisconsin,"591,375"
Albuquerque, New Mexico,"559,629"
Tucson, Arizona,"544,858"
Fresno, California,"528,814"
Mesa, Arizona,"507,945"
Sacramento, California,"507,737"
Atlanta, Georgia,"498,183"
Kansas City, Missouri,"492,012"
Colorado Springs, Colorado,"472,567"
Omaha, Nebraska,"477,299"
Raleigh, North Carolina,"469,314"
Miami, Florida,"462,819"
Long Beach, California,"465,865"
Virginia Beach, Virginia,"449,849"
Oakland, California,"429,056"
Minneapolis, Minnesota,"424,903"
Tulsa, Oklahoma,"400,414"
Tampa, Florida,"397,232"
Arlington, Texas,"398,123"
New Orleans, Louisiana,"391,004"
Wichita, Kansas,"389,231"
Bakersfield, California,"381,714"
Cleveland, Ohio,"383,214"
Aurora, Colorado,"374,572"
Anaheim, California,"350,698"
Urban Honolul, Hawaii,"346,945"
Santa Ana, California,"331,912"
Riverside, California,"329,654"
Corpus Christi, Texas,"326,307"
Lexington-Fayette urban county, Kentucky,"322,426"
Henderson, Nevada,"309,518"
Stockton, California,"311,628"
St. Paul, Minnesota,"306,960"
Cincinnati, Ohio,"302,277"
St. Louis, Missouri,"303,419"
Pittsburgh, Pennsylvania,"300,570"
Greensboro, North Carolina,"294,518"
Lincoln, Nebraska,"286,930"
Anchorage municip, Alaska,"290,521"
Plano, Texas,"288,747"
Orlando, Florida,"285,903"
Irvine, California,"281,732"
Newark, New Jersey,"281,752"
Durham, North Carolina,"274,557"
Chula Vista, California,"270,819"
Toledo, Ohio,"274,864"
Fort Wayne, Indiana,"267,460"
St. Petersburg, Florida,"264,466"
Laredo, Texas,"260,856"
Jersey City, New Jersey,"263,851"
Chandler, Arizona,"257,186"
Madison, Wisconsin,"257,854"
